,rank,name,year,IMDB_rating,country,genres,budget,revenue,keywords,MLens_rating,tmdb_id
0,1,The Shawshank Redemption,1994,9.2,US,Drama/Crime,25000000,28341469,prison/corruption/police brutality/prison cell/delinquent/parole board/prison escape/wrongful imprisonment/framed for murder/1940s,4.469993781094527,278
1,2,The Godfather,1972,9.1,US,Drama/Crime,6000000,245066411,italy/loss of loved one/love at first sight/italian american/europe/patriarch/organized crime/mafia/lawyer/crime family/rise to power/mob boss/1940s/1950s,4.388160973327094,238
2,3,The Godfather: Part II,1974,9.0,US,Drama/Crime,13000000,102600000,italy/italian american/cuba/melancholy/praise/revenge/mafia/lawyer/blood/suburb/corrupt politician/bloody body of child/man punches woman,4.278561354019746,240
3,4,The Dark Knight,2008,9.0,GB,Drama/Action/Crime/Thriller,185000000,1004558444,dc comics/crime fighter/secret identity/scarecrow/sadism/chaos/vigilante/joker/superhero/based on comic/tragic hero/organized crime/criminal mastermind/district attorney/super power/imax/super villain/batman,4.242967992240543,155
4,5,12 Angry Men,1957,8.9,US,Drama,350000,1000000,judge/jurors/sultriness/death penalty/father murder/puerto rican/anonymity/court case/heat/group/class/innocence/court/courtroom,4.231494920174166,389
5,6,Schindler's List,1993,8.9,US,Drama/History/War,22000000,321365567,based on novel or book/factory/concentration camp/hero/holocaust (shoah)/world war ii/ghetto/jew persecution/krakow/auschwitz-birkenau concentration camp/industrialist/jew/nazi/defense industry/biography/based on a true story/train/poland/ss/weapons manufacturer,4.295612009237876,424
6,7,The Lord of the Rings: The Return of the King,2003,8.9,NZ,Adventure/Fantasy/Action,94000000,1118888979,elves/dwarf/orcs/middle-earth (tolkien)/hobbit/based on novel or book/suspicion/volcano/power/giant spider/bravery/war/addiction/honor/royalty/troll/brutality/violence/ghost/wizard/quest/sword and sorcery,4.1266213712168005,122
7,8,Pulp Fiction,1994,8.9,US,Thriller/Crime,8000000,213928762,"transporter/drug dealer/boxer/massage/stolen money/crime boss/dance competition/junkyard/kamikaze/briefcase/redemption/heirloom/los angeles, california/theft/violence/nonlinear timeline/shared universe",4.153516295025729,680
8,9,"Il buono, il brutto, il cattivo",1966,8.8,US,Western,1200000,25100000,bounty hunter/refugee/gold/anti hero/gallows/hitman/army/outlaw/shootout/moral ambiguity/spaghetti western,4.155059132720105,429
9,10,Fight Club,1999,8.8,DE,Drama,63000000,100853753,support group/dual identity/nihilism/fight/rage and hate/insomnia/dystopia/alter ego/violence/cult film/split personality/quitting a job/dissociative identity disorder,4.2191846522781775,550
10,11,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,NZ,Adventure/Fantasy/Action,93000000,871368364,elves/dwarf/orcs/middle-earth (tolkien)/hobbit/loss of loved one/based on novel or book/river/mountain/mine/fireworks/castle/volcano/power/birthday party/uncle/addiction/battle/blizzard/wizard/journey/ring/sword and sorcery,4.1402010050251254,120
11,12,Forrest Gump,1994,8.8,US,Comedy/Drama/Romance,55000000,677387716,vietnam veteran/hippie/washington d.c./mentally disabled/based on novel or book/parent child relationship/vietnam war/friendship/love/family relationships/military/wounded soldier/low iq/false history,4.056530494821634,13
12,13,Inception,2010,8.7,GB,Action/Science Fiction/Adventure,160000000,825532764,"paris, france/spy/philosophy/hotel/allegory/dream/virtual reality/fistfight/car crash/rescue/mission/los angeles, california/danger/zero gravity/imagination/dream world/idea/subconscious",4.1676258992805755,27205
13,14,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,US,Adventure/Action/Science Fiction,18000000,538400000,rebel/android/asteroid/spacecraft/space battle/snow storm/space colony/lightsaber/jedi/good vs evil/rebellion/the force/space opera/stormtrooper/wookie/jedi master/jedi training/droid,4.163358147229115,1891
14,15,The Lord of the Rings: The Two Towers,2002,8.7,NZ,Adventure/Fantasy/Action,79000000,926287400,elves/dwarf/orcs/middle-earth (tolkien)/hobbit/based on novel or book/explosive/cave/power/siege/fort/army/addiction/mission/attack/guide/split personality/wizard/ring/sword and sorcery,4.1061872909699,121
15,16,The Matrix,1999,8.6,AU,Action/Science Fiction,63000000,463517383,saving the world/artificial intelligence/man vs machine/philosophy/prophecy/martial arts/self sacrifice/fight/insurgence/virtual reality/dystopia/truth/cyberpunk/dream world/woman director/messiah/gnosticism/trans director,4.1763401109057305,603
16,17,Goodfellas,1990,8.6,US,Drama/Crime,25000000,46836394,"prison/based on novel or book/florida/1970s/mass murder/irish-american/drug traffic/gangster/biography/based on a true story/murder/organized crime/gore/mafia/new york city/violence/brooklyn, new york city/crime epic/tampa",4.1922796795338675,769
17,18,One Flew Over the Cuckoo's Nest,1975,8.6,US,Drama,3000000,108981275,nurse/based on novel or book/oregon/lunatic asylum/friendship/hospital/female villain/shock treatment,4.235695708712614,510
18,19,Joker,2019,8.6,US,Crime/Thriller/Drama,55000000,1055712814,street gang/dc comics/clown/villain/joker/based on comic/murder/criminal mastermind/stand-up comedian/mental illness/anarchy/subway train/tv host/1980s/mother son relationship/origin story/brutal violence/gotham city,,475557
19,20,Shichinin no samurai,1954,8.6,JP,Action/Drama,2000000,271841,japan/samurai/sword/peasant/looting/rice/fencing/village/epic/moral ambiguity/battle/bandit/practice/16th century,4.223905723905724,346
20,21,Se7en,1995,8.6,US,Crime/Mystery/Thriller,33000000,327311859,self-fulfilling prophecy/detective/s.w.a.t./drug dealer/evisceration/lust and impulsiveness/rage and hate/pride and vanity/immoderateness/insomnia/investigation/pension/police/serial killer/neo-noir,4.078090138331103,807
21,22,Cidade de Deus,2002,8.6,BR,Drama/Crime,3300000,30641770,street gang/photographer/brazil/rio de janeiro/ghetto/gang war/coming of age/woman director,4.258513931888545,598
22,23,La vita è bella,1997,8.6,IT,Comedy/Drama,20000000,229400000,italy/riddle/loss of loved one/bookshop/self sacrifice/mass murder/concentration camp/fascism/world war ii/love of one's life/deportation/jew persecution/nazi/national socialism/charade/riding a bicycle/story teller/concentration camp prisoner/dying and death,4.175051334702259,637
23,24,The Silence of the Lambs,1991,8.6,US,Crime/Drama/Thriller/Horror,19000000,272742922,based on novel or book/fbi/kidnapping/psychopath/horror/murder/serial killer/psychological thriller/cannibal/moth/cannibalism,4.184785956267324,274
24,25,It's a Wonderful Life,1946,8.6,US,Drama/Family/Fantasy,3180000,9644124,holiday/angel/bank/suicide attempt/desperation/small town/great depression/family business /black and white/nervous breakdown/old house/alternate reality/newlywed/told in flashback/guardian angel/high school dance/christmas/building and loan,4.053351573187414,1585
25,26,Star Wars,1977,8.6,US,Adventure/Action/Science Fiction,11000000,775398007,android/galaxy/hermit/death star/lightsaber/jedi/rescue mission/empire/rebellion/planet/smuggler/the force/space opera/galactic war/stormtrooper/totalitarianism,4.189457202505219,11
26,27,Saving Private Ryan,1998,8.5,US,Drama/History/War,70000000,481840909,war crimes/self sacrifice/war veteran/world war ii/war ship/airplane/bravery/normandy/parachute/troops/waffen ss/omaha beach/army/cowardice/american flag/war memorial/deserted town/military/1940s,4.0674924165824065,857
27,28,Sen to Chihiro no kamikakushi,2001,8.5,JP,Animation/Family/Fantasy,19000000,274925095,witch/parent child relationship/magic/darkness/bath house/ghost world/parallel world/amusement park/youkai/japanese mythology/anime/spirits,4.231039325842697,129
28,29,The Green Mile,1999,8.5,US,Fantasy/Drama/Crime,60000000,286801374,southern usa/mentally disabled/based on novel or book/death row/jail guard/great depression/supernatural/prison guard/jail/electric chair/magic realism/healing/1930s,3.97550831792976,497
29,30,Interstellar,2014,8.5,GB,Adventure/Drama/Science Fiction,165000000,675120017,artificial intelligence/nasa/spacecraft/expedition/future/wormhole/space travel/famine/black hole/dystopia/race against time/quantum mechanics/space/rescue/family relationships/farmhouse/robot/astronaut/scientist/single father/farmer/space station/imax/father daughter relationship,4.049450549450549,157336
30,31,Léon,1994,8.5,FR,Crime/Drama/Action,16000000,45284974,new york/corruption/loss of loved one/assassin/police brutality/s.w.a.t./immigrant/hitman/training/revenge/murder/loneliness/neighbor/tragic love/cult film/neo-noir/complex relationship,4.074210139603233,101
31,32,The Usual Suspects,1995,8.5,US,Drama/Crime/Thriller,6000000,23341568,law/relatives/theft/criminal/criminal mastermind/hungarian/sibling,4.370481927710843,629
32,33,Seppuku,1962,8.5,JP,Action/Drama/History,0,0,japan/suicide/asia/samurai/revenge/flashback/poverty/seppuku/ronin/17th century/shogunate,3.5,14537
33,34,Gisaengchung,2019,8.5,KR,Drama/Comedy,11363000,117305014,underground/seoul/birthday party/private lessons/basement/working class/class differences/tutor/family/crime family/flood/smell/unemployed/poor family/wealthy family/korean,,496243
34,35,The Lion King,1994,8.5,US,Family/Animation/Drama,45000000,987483777,loss of loved one/lion/musical/wild boar/uncle/shaman/redemption/king/scar/family/hyena/meerkat/mandrill,3.7819042871385844,8587
35,36,American History X,1998,8.5,US,Drama,20000000,23875127,"usa/neo nazism/prison/skinhead/sibling relationship/rape/fascism/brother/basketball/jail/school/swastika/los angeles, california/family/hate/xenophobia/interracial friendship/nazism",4.1659785301403796,73
36,37,Back to the Future,1985,8.5,US,Adventure/Comedy/Science Fiction/Family,19000000,381109762,clock tower/car race/terrorist/delorean/lightning/guitar/plutonium/sports car/inventor/journey in the past/invention/time travel/race against time/partner/misfit/mad scientist/fish out of water/teenage love/destiny/hidden identity/odd couple/escapade/disorder/chases and races/love and romance/teenage life/misfit partners/changing the past or future/getting home,3.919487648673376,105
37,38,Terminator 2: Judgment Day,1991,8.5,US,Action/Thriller/Science Fiction,102000000,520000000,cyborg/shotgun/post-apocalyptic/dystopia/moral ambiguity/mental institution/violence/fictional war/morphing/nuclear weapons/shape shifter/savior/catch phrase,3.948358539284397,280
38,39,The Pianist,2002,8.5,FR,Drama/War,35000000,120072577,resistance/holocaust (shoah)/hunger/world war ii/prisoner of war/homeland/ghetto/deportation/hiding place/jew persecution/liberation/warsaw ghetto/polish resistance/nazi/biography/concert/survival/based on memoir or autobiography/pianist/poland,4.066539923954372,423
39,40,Modern Times,1936,8.5,US,Drama/Comedy,1500000,8500000,factory/ambulance/invention/tramp/great depression/industrial revolution/slapstick/machine/pardon/guilty,4.165829145728643,3082
40,41,Psycho,1960,8.5,US,Horror/Drama/Thriller,806948,32000000,hotel/clerk/arizona/shower/rain/motel/taxidermy/money/secretary/corpse/murderer/theft/private detective/proto-slasher,4.112185686653771,539
41,42,The Intouchables,2011,8.5,FR,Drama/Comedy,13000000,426480871,male friendship/masseuse/friendship/based on a true story/aristocrat/paragliding/interracial friendship/unlikely friendship/duringcreditsstinger/quadriplegic/quadriplegia,4.209302325581396,77338
42,43,Gladiator,2000,8.5,GB,Action/Drama/Adventure,103000000,457640427,rome italy/parent child relationship/gladiator/arena/senate/roman empire/emperor/slavery/ancient rome/battlefield/slave auction/ancient world/combat/chariot/philosopher/fictionalized history/barbarian horde/2nd century/successor/maximus,3.9269406392694064,98
43,44,City Lights,1931,8.5,US,Comedy/Drama/Romance,1500000,19181,suicide attempt/operation/blindness and impaired vision/love of one's life/eye operation/flower shop/flower girl/tramp/love/black and white/millionaire/silent film/blind girl/little tramp,4.261029411764706,901
44,45,The Departed,2006,8.5,US,Drama/Thriller/Crime,90000000,289847354,undercover/boston/police/friends/remake/mafia/undercover cop/mobster/mole/state police/police training/realtor,4.068820224719101,1422
45,46,Whiplash,2014,8.5,US,Drama/Music,3300000,13092000,jazz/obsession/conservatory/music teacher/new york city/violence/montage/drummer/public humiliation/jazz band/young adult/music school,4.260869565217392,244786
46,47,Once Upon a Time in the West,1968,8.5,IT,Western,5000000,5321508,loss of loved one/showdown/bounty/bounty hunter/sadness/blackmail/harmonica/anti hero/auction/dying and death/peasant/insanity/spaghetti western,4.098360655737705,335
47,48,The Prestige,2006,8.5,US,Drama/Mystery/Thriller,40000000,109676311,competition/secret/obsession/magic/diary/dying and death/class society/illusion/tricks/hostility/class/partner/rivalry/nikola tesla/tesla coil,4.033913043478261,1124
48,49,Casablanca,1942,8.4,US,Drama/Romance,878000,10462500,love triangle/corruption/spy/resistance/casablanca/emigration/visa/patriotism/nationalism/concentration camp/nazi/war/film noir,4.268720748829953,289
49,50,Hotaru no haka,1988,8.4,JP,Animation/Drama/War,3700000,0,sibling relationship/hunger/world war ii/shelter/wartime/anime/orphan siblings/children in wartime,4.045751633986928,12477
50,51,Rear Window,1954,8.4,US,Drama/Mystery/Thriller,1000000,36764313,nurse/photographer/suspicion of murder/girlfriend/neighbor/salesman/apartment/convalescence/voyeurism/missing wife/homebound/suspicious behavior/flower bed/visiting nurse,4.23726977248104,567
51,52,Nuovo Cinema Paradiso,1988,8.4,IT,Drama/Romance,0,11990401,sicily/movie business/parent child relationship/cinema/kiss/flashback/coming of age/haunted by the past/censorship/movie theatre/nuovo cinema paradiso,4.087771203155818,11216
52,53,Alien,1979,8.4,US,Horror/Science Fiction,11000000,104931801,android/spacecraft/countdown/space marine/space suit/beheading/space travel/dystopia/biology/cowardice/space/alien/female protagonist/cult film/parasite/h. r. giger/cosmos/xenomorph,4.01189749847468,348
53,54,Raiders of the Lost Ark,1981,8.4,US,Adventure/Action,18000000,389925971,saving the world/riddle/nepal/himalaya/cairo/moses/egypt/whip/treasure/medallion/leather jacket/nazi/hat/mediterranean/ark of the covenant/ten commandments/treasure hunt/excavation/swastika/archaeologist/archeology /religious history/1930s,4.206203582350371,85
54,55,Apocalypse Now,1979,8.4,US,Drama/War,31500000,150000000,cia/drug abuse/journalist/guerrilla/vietnam/vietcong/cambodia/secret mission/army/insanity/surrealism/tribe/mission/green beret/jungle/descent into madness/brutality/riverboat/based on novel,4.097290640394089,28
55,56,Memento,2000,8.4,US,Mystery/Thriller,9000000,39723096,"individual/insulin/tattoo/waitress/amnesia/motel/insurance salesman/revenge/flashback/confusion/memory loss/los angeles, california/polaroid/cult film/nonlinear timeline/individuality/neo-noir",4.186599874765185,77
56,57,The Great Dictator,1940,8.4,US,Comedy,2000000,11000000,germany/dictator/hairdresser/amnesia/fascism/world war ii/jewish ghetto/world war i/jew/nazi/propaganda/national socialism/national socialist party/speech/satire/good vs evil/barber shop,4.149321266968326,914
57,58,Avengers: Endgame,2019,8.4,US,Adventure/Science Fiction/Action,356000000,2797800564,space travel/time travel/time machine/sequel/based on comic/alien invasion/superhero team/marvel cinematic universe/alternate timeline/final battle/father daughter relationship/sister sister relationship/marvel comics,,299534
58,59,The Lives of Others,2006,8.4,DE,Drama/Thriller,2000000,70000000,germany/berlin germany/berlin wall/corruption/german democratic republic/stasi/blackmail/cold war/soviet union/propaganda/freedom of speech/house search/artists' life/spying/government/interrogation/surveillance/heartbreak/east germany/communism,4.206666666666667,582
59,60,Django Unchained,2012,8.4,US,Drama/Western,100000000,425368238,bounty hunter/hero/plantation/society/friendship/friends/revenge/rivalry/rescue/shootout/racism/danger/dentist/django/aftercreditsstinger/odd couple/black slave/deadly/19th century,3.9863636363636363,68718
60,61,Avengers: Infinity War,2018,8.4,US,Adventure/Action/Science Fiction,300000000,2046239637,magic/sacrifice/superhero/based on comic/space/battlefield/genocide/magical object/super power/team/aftercreditsstinger/marvel cinematic universe/cosmic,,299536
61,62,The Shining,1980,8.4,GB,Horror/Thriller,19000000,44781695,hotel/montana/isolation/hotelier/oregon/colorado/maze/bartender/ax/delusion/loneliness/caretaker/vision/snow/writer/alcoholic/cult film/snowed in/off season/ghost child,3.9963295269168024,694
62,63,Paths of Glory,1957,8.4,US,Drama/War,935000,0,germany/france/based on novel or book/general/patriotism/world war i/song/army/cowardice/soldier/cult film/1910s,4.133152173913044,975
63,64,Spider-Man: Into the Spider-Verse,2018,8.4,US,Action/Adventure/Animation/Science Fiction/Comedy,90000000,375450417,superhero/based on comic/aftercreditsstinger/alternate universe,,324857
64,65,WALL·E,2008,8.4,US,Animation/Family/Science Fiction,180000000,521311860,garbage/space travel/dystopia/loneliness/distant future/robot/dystopian future/aftercreditsstinger/duringcreditsstinger,4.074159021406728,10681
65,66,Sunset Blvd.,1950,8.4,US,Drama,1752000,5000000,"new year's eve/screenwriter/jealousy/butler/loss of sense of reality/diva/delusion/breaking the fourth wall/hollywood, california/los angeles, california/madness/aging actor/has been/silent film star/film noir/grandiose  behavior/kept man/movie studio",4.225274725274725,599
66,67,Mononoke-hime,1997,8.4,JP,Adventure/Fantasy/Animation,26500000,159375308,fight/wolf/leprosy/pan/wild boar/territory/feral child/friendship/princess/good vs evil/rural setting/decapitation/spirit/demon/deforestation/anime,4.136956521739131,128
67,68,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,GB,Drama/Comedy/War,1800000,9440272,u.s. president/general/cold war/strategic air command/nuclear missile/satire/dark comedy/cult film/war room/bomber pilot/nuclear weapons/ex nazi/doomsday device/absurdism,4.2203659506762135,935
68,69,Oldeuboi,2003,8.4,KR,Drama/Thriller/Mystery/Action,3000000,14980005,sushi restaurant/rage and hate/notebook/daughter/hostility/sin/revenge/loneliness/urination/anger/catholic/incest/south hypnosis,4.079032258064516,670
69,70,Witness for the Prosecution,1957,8.3,US,Drama/Mystery/Crime,3000000,9000000,nurse/alibi/letter/widow/murder/lawyer/trial/cigarette smoking/courtroom/murder mystery/tiki culture,3.9879518072289155,37257
70,71,The Dark Knight Rises,2012,8.3,US,Action/Crime/Drama/Thriller,250000000,1081041287,dc comics/crime fighter/terrorist/secret identity/burglar/hostage drama/time bomb/vigilante/cover-up/superhero/based on comic/villainess/tragic hero/terrorism/destruction/criminal underworld/catwoman/cat burglar/imax/flood,4.079831932773109,49026
71,72,Once Upon a Time in America,1984,8.3,US,Drama/Crime,20000000,5300000,life and death/corruption/street gang/rape/sadistic/lovesickness/sexual abuse/regret/prohibition era/money laundering/opium/gangster/mafia boss/murder/memory/torture/new york city/brooklyn bridge/childhood friends/1920s/1960s/1930s,3.8524590163934427,311
72,73,Aliens,1986,8.3,US,Action/Thriller/Science Fiction,18500000,183316455,android/extraterrestrial technology/space marine/spaceman/cryogenics/vacuum/space colony/warrior woman/settler/space travel/colony/alien/xenomorph,3.9907343857240907,679
73,74,American Beauty,1999,8.3,US,Drama,15000000,356296601,adultery/movie business/parent child relationship/midlife crisis/coming out/first time/camcorder/virgin/estate agent/cheerleader/rose/satire/loneliness/dark comedy/suburbia/coming of age/marijuana/exercise/extramarital affair/quitting a job/retired army man/affair/closeted homosexual,4.149893842887473,14
74,75,Kimi no na wa.,2016,8.3,JP,Romance/Animation/Drama,0,357986087,japan/time travel/supernatural/afterlife/romance/school/body-swap/star crossed lovers/anime,,372058
75,76,Coco,2017,8.3,US,Animation/Family/Comedy/Adventure/Fantasy,175000000,800526015,mexico/guitar/musician/skeleton/music/afterlife/latinx lead/singer/life after death/child/3d/day of the dead,,354912
76,77,Braveheart,1995,8.3,US,Action/Drama/History/War,72000000,210000000,individual/scotland/in love with enemy/revolution/kilt/legend/independence/freedom/idealism/family clan/battle/united kingdom/revolt/tyranny/false history/highlands/13th century/scottish highlands/warfield,4.038227938549482,197
77,78,Das Boot,1981,8.3,DE,Drama/History/War,14000000,85000000,terror/submarine/based on novel or book/atlantic ocean/gibraltar/world war ii/duty/war correspondent/torpedo/drinking/sailor/convoy/u boat/destroyer/depth charge/comrade/german submarine/naval battle/periscope/suicidal mission/battle of the atlantic,4.1,387
78,79,3 Idiots,2009,8.3,IN,Drama/Comedy/Romance,9000000,70000000,suicide/suicide attempt/college/friends/engineering/student/subjective camera,3.75,20453
79,80,Star Wars: Episode VI - Return of the Jedi,1983,8.3,US,Adventure/Action/Science Fiction,32350000,572700000,sibling relationship/rebel/spacecraft/emperor/space battle/matter of life and death/death star/jabba the hutt/ewoks/jedi/space opera,3.992338709677419,1892
80,81,Taare Zameen Par,2007,8.3,IN,Drama,2600000,28430000,painter/jealousy/parent child relationship/father/boarding school/dyslexia/little boy/teacher/india/childhood/teachers and students,3.0,7508
81,82,Toy Story,1995,8.3,US,Animation/Comedy/Family,30000000,373554033,martial arts/jealousy/toy/boy/friendship/bullying/elementary school/friends/rivalry/rescue/mission/walkie talkie/boy next door/new toy/neighborhood/toy comes to life/resourcefulness,3.959322693655119,862
82,83,Amadeus,1984,8.3,US,Drama/History/Music,18000000,51973029,italy/austria/composer/opera/talent/emperor/musician/marriage crisis/mozart/god/murder/vienna austria/envy/18th century,4.063870352716873,279
83,84,Reservoir Dogs,1992,8.3,US,Crime/Thriller,1200000,0,traitor/jewelry/psychopath/thief/heist/betrayal/mystery/escape/gang/plan gone wrong/cult film/nonlinear timeline/warehouse/ensemble cast/told in flashback/heist gone wrong/foreshadowing/rendezvous/iconic/set in one room/uneasy alliance/rag tag group/shared universe,4.062942008486563,500
84,85,Inglourious Basterds,2009,8.3,DE,Drama/Action/Thriller/War,70000000,319131050,"paris, france/guerrilla/cinema/self sacrifice/dynamite/mexican standoff/world war ii/jew persecution/jew/nazi/masochism/sadism/anti semitism/swastika/german occupation of france/violence/british politics/hitler/adolf hitler",3.953798767967146,16869
85,86,Good Will Hunting,1997,8.3,CA,Drama,10000000,225933435,baseball/boston/professor/m.i.t./harvard university/ambition/mathematics/genius/love/friends/flashback/janitor/irish/psychologist/university/courtroom/prodigy,4.024966261808367,489
86,87,M - Eine Stadt sucht einen Mörder,1931,8.3,DE,Drama/Action/Thriller/Crime,0,0,germany/berlin germany/underworld/child murderer/detective inspector/investigation/psychopath/organized crime/black and white/criminal/child killer/pre-code/psycho/expressionism/german expressionism,4.209251101321586,832
87,88,Requiem for a Dream,2000,8.3,US,Crime/Drama,4500000,7390108,drug addiction/junkie/heroin/speed/diet/unsociability/illegal prostitution,4.075407608695652,641
88,89,2001: A Space Odyssey,1968,8.3,GB,Science Fiction/Mystery/Adventure,12000000,68700000,moon/jupiter/artificial intelligence/man vs machine/technology/super computer/human being/space travel/space mission/moon base/astronaut/cult film/evolution/monolith/space station/2000s,3.944950645406226,62
89,90,Dangal,2016,8.3,IN,Drama/Action,10400000,310000000,parent child relationship/feminism/empowerment/strong woman/training/biography/wrestling/sport/autobiography/domestic abuse/woman power/fighting/womanhood/endurance/woman vs woman fight/female empowerment/determination/strength training/abusive father/overcoming fears/woman empowerment,,360814
90,91,Vertigo,1958,8.3,US,Mystery/Romance/Thriller,2479000,28000000,san francisco/sense of guilt/bachelor/obsession/love of one's life/vertigo/museum/necklace/grave/plan/painting/film noir,4.135752688172043,426
91,92,Eternal Sunshine of the Spotless Mind,2004,8.3,US,Science Fiction/Drama/Romance,20000000,72258126,deja vu/regret/jealousy/amnesia/dream/operation/relationship problems/love/memory/brainwashing/relationship/heartbreak/nonlinear timeline,4.111996644295302,38
92,93,Citizen Kane,1941,8.3,US,Mystery/Drama,839727,23217674,journalist/newspaper/florida/capitalist/banker/media tycoon/art collector/sleigh/money/child,4.141693811074918,15
93,94,Jagten,2012,8.3,DK,Drama,3800000,18309793,parent child relationship/lie/pedophilia/kindergarten/father/children/teacher/school/pedophile/divorce,3.972972972972973,103663
94,95,Full Metal Jacket,1987,8.3,GB,Drama/War,17000000,46357676,suicide/prostitute/helicopter/based on novel or book/journalism/sniper/propaganda/vietnam/recruit/war photographer/war correspondent/war/boot camp/rescue/jungle/infantry/sergeant/racism/violence/genocide/fighting/platoon/combat/discipline/u.s. marine/obstacle course/mass grave/blanket party,4.05,600
95,96,North by Northwest,1959,8.3,US,Mystery/Thriller,4000000,13275000,assassination/spy/mount rushmore national memorial/romance/mistaken identity/on the run/fugitive/espionage/advertising/framed/government agent,4.25030599755202,213
96,97,A Clockwork Orange,1971,8.3,GB,Science Fiction/Drama,2200000,26589000,street gang/sexuality/based on novel or book/parent child relationship/great britain/social worker/society/dystopia/satire/controversial/violence/cult film/futuristic society,3.9734615384615384,185
