,rank,name,year,IMDB_rating,country,genres,budget,revenue,keywords,MLens_rating,tmdb_id
154,155,V for Vendetta,2005,8.1,DE,Action/Thriller/Fantasy,54000000,132511035,detective/dc comics/fascism/fascist/dystopia/government/chancellor/revenge/torture/hatred/masked vigilante/vengeful spirit/activist/vengeful,3.9374158815612383,752
155,156,Inside Out,2015,8.1,US,Drama/Comedy/Animation/Family,175000000,857611174,dream/cartoon/imaginary friend/elementary school/family/kids/unicorn/duringcreditsstinger/3d/emotions,,150540
156,157,Det sjunde inseglet,1957,8.1,SE,Fantasy/Drama,0,0,chess/countryside/witch/blacksmith/allegory/symbolism/artist/last judgment/pest/crusade/juggler/burning of witches/sense of life/dying and death/demon/black death/death personified/death incarnate/14th century,4.094936708860759,490
157,158,Warrior,2011,8.1,US,Drama/Action,25000000,23057115,bank/training/beating/mixed martial arts/teacher/muscleman/combat/alcoholic/gym/exercise,3.9361702127659575,59440
158,159,No Country for Old Men,2007,8.1,US,Crime/Drama/Thriller,25000000,171627166,vietnam veteran/sheriff/texas/drug traffic/motel/hitman/united states–mexico barrier/money/violence/desert/neo-western/cold blooded killer/1980s/coin toss/captive bolt gun/based on novel,3.956692913385827,6977
159,160,Trainspotting,1996,8.1,GB,Drama/Crime,4000000,16491080,"london, england/scotland/based on novel or book/drug addiction/drug dealer/nightclub/junkie/heroin/cold turkey/edinburgh/modern society/hallucination/friendship/surrealism/dark comedy/stealing/drug rehabilitation/monologue/drug dealing/drugs/cult film/recovering drug addict/illegal drugs/drug culture/antihero",4.0240032546786,627
160,161,Room,2015,8.1,CA,Drama/Thriller,6000000,35401758,based on novel or book/carpet/isolation/kidnapping/imprisonment/grandparents/escape/hospital/dog/captive/children's perspectives/skylight/mother son relationship,,264644
161,162,The Elephant Man,1980,8.1,GB,Drama/History,5000000,26010864,exploitation/biography/based on a true story/hospital/curiosity/sideshow/disfigurement/physical deformity/freak/19th century/dignity,3.9576023391812867,1955
162,163,The Sixth Sense,1999,8.1,US,Mystery/Thriller/Drama,40000000,672806292,philadelphia/child abuse/loss of loved one/sense of guilt/confidence/psychology/dying and death/marriage crisis/afterlife/single/paranormal phenomena/cowardliness/single mother/school play/ghost/child/spiritism/ghost child,4.049091801669121,745
163,164,Shutter Island,2010,8.1,US,Drama/Thriller/Mystery,80000000,294804195,based on novel or book/island/hurricane/investigation/psychiatric hospital/u.s. marshal/conspiracy theory/neo-noir/1950s,3.925806451612903,11324
